ZB=F,EUR=X,CHFUSD,GLD
115.843803,0.82912,0.771426,42.45
115.593803,0.82884,0.772201,42.51
115.656303,0.83215,0.769468,42.25
115.4375,0.82871,0.771903,42.44
116.343803,0.82427,0.77815,42.75
115.3125,0.82481,0.776036,42.82
114.968803,0.82075,0.782167,43.13
114.656303,0.82008,0.783392,43.14
115.156303,0.8107,0.792896,43.53
114.906303,0.80743,0.794976,43.68
114.1875,0.80867,0.792519,43.6
113.9375,0.80965,0.792707,43.35
114.25,0.80788,0.79447,43.34
114.218803,0.80736,0.795925,43.65
114.906303,0.80173,0.803148,44.45
115.968803,0.80354,0.801925,44.49
115.656303,0.80834,0.797257,44.13
116.156303,0.80972,0.795862,44.55
115.593803,0.81446,0.792707,43.91
116.25,0.82075,0.786658,43.83
116.25,0.82271,0.784068,43.6
116.25,0.81739,0.787774,43.7
116.531303,0.81733,0.787712,43.76
116.593803,0.81473,0.791327,43.59
117.0,0.81288,0.796052,43.73
116.6875,0.8134,0.794849,43.61
116.906303,0.81733,0.789827,43.57
117.6875,0.81846,0.787898,43.01
118.375,0.81031,0.797766,43.4
118.25,0.80064,0.809848,44.22
118.093803,0.79789,0.813339,44.25
117.5,0.8027,0.807103,44.27
116.656303,0.80541,0.80457,44.33
116.656303,0.80684,0.803277,44.6
116.906303,0.80574,0.804635,44.84
116.343803,0.8136,0.795418,44.89
116.6875,0.81433,0.79384,44.56
116.3125,0.8144,0.794534,44.96
115.656303,0.81726,0.789827,45.42
115.156303,0.81706,0.787712,45.82
115.25,0.82379,0.782044,46.25
115.468803,0.82515,0.780153,46.23
115.875,0.82277,0.781983,46.36
115.156303,0.8305,0.774054,46.28
114.656303,0.82829,0.776096,46.57
114.5625,0.83202,0.772022,46.25
115.156303,0.82905,0.775374,46.8
114.781303,0.83188,0.772082,47.1
114.406303,0.83139,0.773096,46.7
113.75,0.83942,0.767931,46.42
113.9375,0.839,0.768108,46.45
114.1875,0.8325,0.776036,46.36
114.125,0.82156,0.786225,47.21
114.25,0.8244,0.782473,47.36
114.0,0.83438,0.774893,47.39
113.218803,0.83139,0.77694,46.85
112.718803,0.83202,0.775194,47.02
112.625,0.82802,0.777786,46.8
112.593803,0.83257,0.772977,47.26
112.6875,0.83647,0.769172,47.0
112.8125,0.83514,0.770951,46.34
112.906303,0.83209,0.776458,45.98
113.718803,0.83654,0.774114,46.52
113.093803,0.835,0.776337,46.39
112.4375,0.82563,0.784314,47.06
111.468803,0.82898,0.779059,46.93
111.8125,0.82352,0.785731,47.18
111.8125,0.82843,0.780884,47.22
111.968803,0.8341,0.775434,46.4
111.781303,0.83167,0.77688,45.73
111.375,0.82867,0.782105,46.13
110.781303,0.83668,0.774234,45.96
110.656303,0.84652,0.765052,45.51
110.906303,0.84796,0.764935,45.77
111.75,0.84976,0.762166,45.91
111.0,0.84904,0.764,46.56
111.9375,0.85649,0.759994,46.48
111.3125,0.85529,0.758956,46.62
111.9375,0.85237,0.759763,46.66
112.718803,0.85638,0.754831,47.78
113.0,0.85121,0.759129,48.48
112.468803,0.84918,0.761267,48.46
112.8125,0.85201,0.758208,48.99
112.968803,0.84645,0.762951,49.32
112.343803,0.84688,0.761847,49.15
112.906303,0.85288,0.756487,49.42
113.343803,0.84388,0.765755,49.74
112.4375,0.84976,0.760456,49.8
112.281303,0.8471,0.761093,49.1
112.0625,0.85164,0.759301,50.17
112.156303,0.85332,0.759129,50.32
111.718803,0.84839,0.765052,50.78
112.5625,0.8476,0.766342,50.89
112.281303,0.85339,0.761209,51.32
112.906303,0.84652,0.769231,51.9
112.125,0.84645,0.767872,52.4
112.031303,0.8364,0.775675,52.56
112.125,0.83689,0.773634,51.65
113.125,0.83514,0.778634,50.35
112.9375,0.83563,0.775254,50.24
113.281303,0.83236,0.775374,50.09
113.343803,0.83285,0.773874,50.22
113.25,0.84211,0.765111,49.04
112.718803,0.84502,0.761325,49.37
113.406303,0.84225,0.762486,50.14
114.1875,0.84232,0.76266,50.12
114.6875,0.84345,0.760688,50.64
114.3125,0.84402,0.760283,51.47
114.4375,0.84388,0.761325,51.47
114.1875,0.84452,0.759936,51.58
114.375,0.83105,0.776156,53.12
114.46875,0.82563,0.783024,53.3
114.4375,0.82597,0.783392,52.34
114.125,0.82277,0.787526,53.72
114.125,0.82816,0.782901,54.6
113.53125,0.82891,0.780884,54.06
113.21875,0.82379,0.785053,54.53
113.84375,0.83022,0.778392,54.43
114.6875,0.82352,0.783515,55.44
114.875,0.82587,0.781433,55.26
114.75,0.8259,0.780945,54.07
114.40625,0.82706,0.778331,55.59
114.625,0.82399,0.783085,55.2
114.65625,0.81274,0.795229,55.77
114.28125,0.81533,0.792017,55.73
113.1875,0.81666,0.790826,56.14
112.65625,0.81867,0.788022,55.88
112.90625,0.82686,0.778816,55.63
112.65625,0.8274,0.77682,56.68
112.84375,0.82315,0.782167,56.7
112.59375,0.82871,0.776096,56.7
112.6875,0.82754,0.777242,56.98
113.28125,0.83146,0.772201,56.5
113.3125,0.83591,0.768344,56.72
112.875,0.83382,0.771784,54.6
112.53125,0.83577,0.769882,54.83
112.84375,0.83375,0.770594,56.18
112.5,0.83984,0.765287,54.79
112.40625,0.83949,0.765287,53.72
112.0625,0.83921,0.764584,54.49
112.1875,0.84133,0.763126,53.76
112.3125,0.83984,0.763592,54.52
113.0625,0.83738,0.763825,54.96
112.875,0.83893,0.764994,55.12
113.25,0.83921,0.762747,55.34
112.875,0.83879,0.764059,54.64
112.84375,0.84189,0.758553,55.64
112.5,0.84388,0.756029,55.22
113.09375,0.83822,0.762835,56.07
112.5625,0.83893,0.761731,56.1
111.9375,0.83063,0.770001,56.74
111.375,0.83015,0.771367,56.28
110.75,0.83222,0.770297,55.23
110.75,0.84104,0.761499,54.95
110.6875,0.83843,0.764701,53.97
110.75,0.84005,0.760861,54.24
110.53125,0.83956,0.759129,53.83
110.34375,0.83563,0.762835,54.31
111.125,0.83202,0.767872,54.87
110.65625,0.82843,0.772141,55.12
111.46875,0.82136,0.775615,55.34
111.15625,0.82021,0.775555,55.12
111.375,0.82217,0.774503,55.17
110.78125,0.8259,0.769586,54.83
110.90625,0.82788,0.766284,54.75
110.5625,0.83528,0.759647,54.7
111.25,0.83091,0.763359,55.71
110.9375,0.83257,0.764,56.39
110.09375,0.83257,0.763884,56.06
109.6875,0.83119,0.76365,57.07
109.1875,0.82183,0.771307,58.6
109.15625,0.82542,0.766695,58.1
109.03125,0.82379,0.766812,58.47
108.96875,0.81566,0.774953,58.33
109.25,0.8138,0.778634,58.66
108.625,0.81873,0.774833,59.28
107.875,0.82679,0.76864,58.59
107.875,0.82563,0.767813,59.6
108.1875,0.82318,0.770772,59.01
107.71875,0.82549,0.770653,59.43
107.09375,0.82535,0.770951,59.5
107.40625,0.81606,0.781433,61.09
107.65625,0.8086,0.789453,61.85
107.03125,0.80788,0.789391,63.75
107.03125,0.81241,0.782228,60.96
